DATE,Home Price
1/1/1987,63.965
2/1/1987,64.423
3/1/1987,64.735
4/1/1987,65.131
5/1/1987,65.563
6/1/1987,66.071
7/1/1987,66.507
8/1/1987,66.938
9/1/1987,67.331
10/1/1987,67.739
11/1/1987,68.108
12/1/1987,68.506
1/1/1988,68.857
2/1/1988,69.261
3/1/1988,69.637
4/1/1988,69.976
5/1/1988,70.426
6/1/1988,70.889
7/1/1988,71.355
8/1/1988,71.8
9/1/1988,72.241
10/1/1988,72.636
11/1/1988,73.072
12/1/1988,73.465
1/1/1989,73.947
2/1/1989,74.383
3/1/1989,74.779
4/1/1989,75.085
5/1/1989,75.306
6/1/1989,75.48
7/1/1989,75.656
8/1/1989,75.834
9/1/1989,76.056
10/1/1989,76.283
11/1/1989,76.521
12/1/1989,76.705
1/1/1990,76.897
2/1/1990,77.053
3/1/1990,77.201
4/1/1990,77.278
5/1/1990,77.297
6/1/1990,77.258
7/1/1990,77.139
8/1/1990,77.009
9/1/1990,76.849
10/1/1990,76.699
11/1/1990,76.37
12/1/1990,76.184
1/1/1991,75.915
2/1/1991,75.734
3/1/1991,75.569
4/1/1991,75.565
5/1/1991,75.764
6/1/1991,75.992
7/1/1991,76.082
8/1/1991,76.109
9/1/1991,76.193
10/1/1991,76.074
11/1/1991,76.014
12/1/1991,76.056
1/1/1992,76.087
2/1/1992,76.156
3/1/1992,76.276
4/1/1992,76.345
5/1/1992,76.398
6/1/1992,76.332
7/1/1992,76.263
8/1/1992,76.23
9/1/1992,76.238
10/1/1992,76.375
11/1/1992,76.558
12/1/1992,76.674
1/1/1993,76.784
2/1/1993,76.837
3/1/1993,76.868
4/1/1993,76.936
5/1/1993,77.038
6/1/1993,77.243
7/1/1993,77.43
8/1/1993,77.612
9/1/1993,77.794
10/1/1993,77.941
11/1/1993,78.147
12/1/1993,78.325
1/1/1994,78.591
2/1/1994,78.727
3/1/1994,78.856
4/1/1994,78.986
5/1/1994,79.222
6/1/1994,79.422
7/1/1994,79.594
8/1/1994,79.781
9/1/1994,79.919
10/1/1994,80.065
11/1/1994,80.15
12/1/1994,80.296
1/1/1995,80.426
2/1/1995,80.528
3/1/1995,80.597
4/1/1995,80.661
5/1/1995,80.703
6/1/1995,80.785
7/1/1995,80.936
8/1/1995,81.11
9/1/1995,81.306
10/1/1995,81.482
11/1/1995,81.619
12/1/1995,81.736
1/1/1996,81.834
2/1/1996,81.953
3/1/1996,82.194
4/1/1996,82.42
5/1/1996,82.61
6/1/1996,82.752
7/1/1996,82.928
8/1/1996,83.086
9/1/1996,83.256
10/1/1996,83.377
11/1/1996,83.552
12/1/1996,83.721
1/1/1997,83.955
2/1/1997,84.18
3/1/1997,84.451
4/1/1997,84.622
5/1/1997,84.861
6/1/1997,85.081
7/1/1997,85.331
8/1/1997,85.573
9/1/1997,85.85
10/1/1997,86.147
11/1/1997,86.632
12/1/1997,87.092
1/1/1998,87.615
2/1/1998,88.002
3/1/1998,88.442
4/1/1998,88.878
5/1/1998,89.364
6/1/1998,89.845
7/1/1998,90.31
8/1/1998,90.785
9/1/1998,91.258
10/1/1998,91.717
